Ranking,Year,Teams,Points,Goals+,Goals-,avg age,avg heights (cm),avg weight (kg),avg player rating,avg player value (EU),avg player wage
1,2019,Real Madrid,87,70,25,24.91,180.21,75.85,80.12,27207575,162242
2,2019,FC Barcelona,82,86,38,24.06,180.52,74.09,78.36,26342424,150000
3,2019,Atlético Madrid,70,51,27,24.12,181.79,75.88,76.18,17890151,44848
4,2019,Sevilla FC,70,54,34,25.15,180.33,74.06,75.42,10095454,14939
5,2019,Villarreal CF,60,63,49,25.62,181.59,74.03,73.06,6711718,21938
6,2019,Granada CF,56,52,45,26.07,181.07,74.44,69.96,2976481,11444
7,2019,Real Sociedad,56,56,48,23.47,180.27,74.0,72.93,8236166,18433
8,2019,Getafe CF,54,43,37,26.63,181.67,74.93,74.5,7636833,18600
9,2019,Valencia CF,53,46,53,24.97,181.64,74.58,75.39,12313787,29364
10,2019,CA Osasuna,52,46,54,26.07,180.13,73.93,69.87,3001000,16167
11,2019,Athletic Club Bilbao,51,41,38,25.39,182.45,77.91,73.73,7924242,17848
12,2019,Levante UD,49,47,53,26.09,180.47,74.31,72.88,6258593,17531
13,2019,SD Eibar,42,39,56,27.75,181.0,75.0,73.89,6158928,18643
14,2019,Real Valladolid CF,42,32,43,24.27,181.12,74.0,71.94,5103030,12152
15,2019,Real Betis,41,48,60,24.94,180.61,74.87,73.42,10131612,18774
16,2019,Deportivo Alavés,39,34,59,25.09,181.39,75.15,72.03,5214393,15424
17,2019,RC Celta Vigo,37,37,49,23.61,178.79,71.3,71.7,6671969,14576
18,2019,CD Leganés,36,30,51,24.52,181.27,74.21,70.73,4199848,16152
19,2019,RCD Mallorca,33,40,65,26.33,181.07,75.41,69.0,2248148,12185
20,2019,RCD Espanyol,25,27,59,25.03,179.27,73.23,72.53,6696666,18400
1,2018,FC Barcelona,87,51,17,24.75,179.75,74.36,80.29,29925892,169536
2,2018,Atlético Madrid,76,32,10,23.79,181.39,75.0,74.73,19432727,46333
3,2018,Real Madrid,68,32,15,24.03,181.21,75.64,77.85,26668939,150333
4,2018,Valencia CF,61,24,12,23.39,181.97,74.06,75.84,13846774,31097
5,2018,Getafe CF,59,28,13,25.46,181.46,74.64,72.96,5911607,17071
6,2018,Sevilla FC,59,39,20,25.27,179.2,74.23,74.87,9395000,17733
7,2018,Athletic Club Bilbao,53,26,19,25.06,181.73,77.06,74.03,7647878,17818
8,2018,RCD Espanyol,53,28,22,25.3,179.7,74.07,71.5,5032166,16567
9,2018,Real Betis,50,25,26,25.54,181.54,75.81,75.88,11449423,23731
10,2018,Deportivo Alavés,50,19,19,24.7,182.56,75.33,73.07,6250925,17037
11,2018,Real Sociedad,50,23,20,23.93,180.97,75.77,73.23,7781666,22700
12,2018,SD Eibar,47,31,21,26.31,179.97,73.9,73.41,6284137,19241
13,2018,CD Leganés,45,19,16,25.38,181.69,74.12,71.53,4398437,18750
14,2018,Villarreal CF,44,28,26,26.84,181.65,74.52,74.81,9303225,25871
15,2018,Levante UD,44,34,34,24.76,180.94,74.3,72.27,5660606,17394
16,2018,RC Celta Vigo,41,31,25,23.67,179.55,73.52,72.45,6915151,15758
17,2018,Real Valladolid CF,41,16,26,24.9,179.45,72.1,69.35,3030161,11097
18,2018,Girona FC,37,17,28,24.96,181.82,74.79,71.71,6030178,23464
19,2018,SD Huesca,33,24,30,26.77,180.54,75.42,70.35,3534615,15154
20,2018,Rayo Vallecano,32,25,32,25.21,181.27,74.0,69.76,3905606,15364
1,2017,FC Barcelona,93,53,11,26.25,179.83,75.12,82.38,29791666,188833
2,2017,Atlético Madrid,79,30,8,24.78,180.19,73.59,75.88,17692187,49406
3,2017,Real Madrid,76,54,20,24.58,180.42,74.0,81.04,31798076,182731
4,2017,Valencia CF,73,36,16,23.41,180.89,73.63,74.59,8939814,29407
5,2017,Villarreal CF,61,35,22,24.76,181.33,74.0,73.36,9173484,27576
6,2017,Real Betis,60,35,31,25.42,180.5,74.54,73.46,6960416,22542
7,2017,Sevilla FC,58,31,22,26.22,181.07,75.89,77.0,11555185,20556
8,2017,Getafe CF,55,26,13,26.23,179.19,71.74,70.65,3379677,17000
9,2017,Girona FC,51,26,22,24.52,181.79,74.21,71.48,4302758,24379
10,2017,SD Eibar,51,26,19,26.03,182.24,74.83,73.41,6239655,16724
11,2017,RC Celta Vigo,49,34,23,23.65,179.71,73.84,71.77,6351612,15839
12,2017,Real Sociedad,49,47,29,24.48,180.87,75.13,73.84,9283870,23161
13,2017,RCD Espanyol,49,20,16,25.83,181.3,75.47,74.7,6871666,25000
14,2017,Deportivo Alavés,47,21,23,24.0,181.84,74.29,71.19,4818548,20581
15,2017,Levante UD,46,25,28,23.91,181.44,74.09,70.75,4327812,15062
16,2017,CD Leganés,43,19,19,26.55,180.48,74.28,72.66,4918965,19897
17,2017,Athletic Club Bilbao,43,19,16,25.75,182.43,76.61,75.75,9794642,22643
18,2017,RCD La Coruña,29,22,33,25.7,179.7,73.64,72.79,5759090,22333
19,2017,UD Las Palmas,22,15,38,25.52,179.73,73.27,72.24,5950757,19364
20,2017,Málaga CF,20,14,27,24.21,181.33,74.61,71.15,5339848,18909
1,2016,Real Madrid,93,48,20,24.09,180.79,74.79,78.55,23399242,82848
2,2016,FC Barcelona,90,64,17,23.88,180.5,74.91,77.81,21955468,79688
3,2016,Atlético Madrid,78,40,14,25.1,181.28,74.07,77.45,17008448,63862
4,2016,Sevilla FC,72,39,16,25.74,181.7,75.96,77.52,11730370,61333
5,2016,Villarreal CF,67,35,18,25.15,180.09,73.39,75.27,8878787,47424
6,2016,Real Sociedad,64,30,24,24.45,181.73,75.06,72.7,5855606,8758
7,2016,Athletic Club Bilbao,63,36,18,25.27,182.2,77.03,75.1,7937500,45200
8,2016,RCD Espanyol,56,28,24,25.96,181.39,75.54,74.07,5338392,10036
9,2016,Deportivo Alavés,55,19,21,24.07,181.97,73.57,71.1,3161666,6433
10,2016,SD Eibar,54,29,21,25.23,181.27,74.5,72.81,4115769,9538
11,2016,Málaga CF,46,32,25,24.69,180.9,73.38,72.55,5250517,8069
12,2016,Valencia CF,46,32,32,23.65,180.39,73.81,74.35,8198387,42484
13,2016,RC Celta Vigo,45,30,32,23.97,179.24,73.45,73.36,6278030,17788
14,2016,Real Betis,39,22,24,24.82,179.57,73.07,73.39,5235714,6357
15,2016,UD Las Palmas,39,33,25,25.38,178.62,72.47,72.0,4261875,7844
16,2016,RCD La Coruña,36,27,23,25.36,179.73,73.42,72.12,4109090,9697
17,2016,CD Leganés,35,22,23,24.76,179.04,73.04,71.96,3213200,6920
18,2016,Sporting Gijón,31,26,38,24.96,180.04,74.44,72.19,3301851,6926
19,2016,CA Osasuna,22,23,39,24.61,180.0,73.36,69.39,2017727,4939
20,2016,Granada CF,20,17,32,24.15,180.67,73.21,71.52,3237878,6061
1,2015,FC Barcelona,91,67,14,24.97,179.1,74.1,78.59,20170689,120724
2,2015,Real Madrid,90,70,16,23.81,181.42,75.03,77.13,19692741,106581
3,2015,Atlético Madrid,88,33,7,24.88,181.48,74.16,76.92,12458000,82960
4,2015,Villarreal CF,64,26,12,24.21,181.32,74.5,74.25,7024107,40500
5,2015,Athletic Club Bilbao,62,35,17,26.2,182.0,76.84,76.12,8057000,63280
6,2015,RC Celta Vigo,60,29,25,23.06,179.55,74.03,70.77,4229354,30742
7,2015,Sevilla FC,52,38,21,25.47,181.16,76.06,74.66,8131875,60281
8,2015,Málaga CF,48,26,15,25.39,179.9,73.26,71.48,3612580,31323
9,2015,Real Sociedad,48,22,20,24.69,182.22,75.56,72.38,5696093,49125
10,2015,Real Betis,45,17,23,25.72,181.59,75.78,71.44,2664687,29250
11,2015,UD Las Palmas,44,25,17,27.1,180.31,73.9,70.24,1895172,22759
12,2015,Valencia CF,44,25,23,23.19,179.32,74.55,74.39,9423064,58290
13,2015,RCD Espanyol,43,22,28,24.07,181.62,75.52,70.86,2964655,28655
14,2015,SD Eibar,43,26,22,24.67,180.85,74.56,69.11,2375925,10963
15,2015,RCD La Coruña,42,25,34,26.79,180.29,74.57,72.21,3210714,31643
16,2015,Sporting Gijón,39,28,28,23.81,180.52,73.74,70.37,2653518,23259
17,2015,Granada CF,39,26,31,24.07,181.53,76.57,70.73,2601333,26700
18,2015,Rayo Vallecano,38,29,29,26.57,180.68,74.75,71.46,2899107,30607
19,2015,Getafe CF,36,23,20,24.28,181.34,74.38,71.03,3335344,30241
20,2015,Levante UD,32,23,26,25.57,181.14,75.21,70.93,2863571,28643
1,2014,FC Barcelona,94,64,11,25.54,178.12,71.92,79.75,0,0
2,2014,Real Madrid,92,65,15,23.79,181.73,75.82,75.21,0,0
3,2014,Atlético Madrid,78,42,11,24.69,181.28,75.1,74.45,0,0
4,2014,Valencia CF,77,42,10,22.71,179.03,73.77,72.65,0,0
5,2014,Sevilla FC,76,38,13,24.09,179.7,74.33,71.58,0,0
6,2014,Villarreal CF,60,29,17,23.85,179.36,74.06,70.88,0,0
7,2014,Athletic Club Bilbao,55,28,20,24.39,181.06,75.27,70.88,0,0
8,2014,RC Celta Vigo,51,30,22,23.43,179.43,74.17,68.1,0,0
9,2014,Málaga CF,50,26,20,25.0,179.12,72.47,70.5,0,0
10,2014,Rayo Vallecano,49,26,26,24.84,178.91,72.66,68.66,0,0
11,2014,RCD Espanyol,49,23,19,24.3,180.06,73.55,67.15,0,0
12,2014,Real Sociedad,46,29,21,24.48,181.68,75.26,70.29,0,0
13,2014,Elche CF,41,19,31,24.36,180.61,75.04,67.54,0,0
14,2014,Levante UD,37,20,30,26.07,180.93,75.27,69.93,0,0
15,2014,Getafe CF,37,16,22,25.73,181.42,75.0,68.65,0,0
16,2014,Granada CF,35,13,17,24.69,181.25,77.53,68.34,0,0
17,2014,SD Eibar,35,20,29,27.43,181.7,77.17,70.35,0,0
18,2014,RCD La Coruña,35,22,30,25.12,179.76,73.36,68.64,0,0
19,2014,UD Almería,32,20,28,23.87,178.5,72.63,68.17,0,0
20,2014,Córdoba CF,20,12,33,24.88,180.31,73.53,67.5,0,0
