,Year,Wages,Value,Transfers,League,Group
0,2015,76624.0,10825738.5,81.03699999999999,Italy,Top 4
1,2016,51855.0,11265590.25,92.66174999999998,Italy,Top 4
2,2017,74707.25,16645568.75,103.75125000000001,Italy,Top 4
3,2018,72128.0,18386331.25,108.40625,Italy,Top 4
4,2019,61554.25,14403011.75,116.16050000000001,Italy,Top 4
0,2015,21541.75,2146895.25,6.39575,Italy,Bottom 4
1,2016,5050.75,1865116.25,6.428333333333334,Italy,Bottom 4
2,2017,15351.25,2408818.25,8.744,Italy,Bottom 4
3,2018,10439.25,3029113.25,21.307750000000002,Italy,Bottom 4
4,2019,8609.25,3109424.75,22.321250000000003,Italy,Bottom 4
0,2015,40281.1,4931908.9,33.6692,Italy,League
1,2016,26234.3,5789434.7,39.602450000000005,Italy,League
2,2017,36943.9,7357761.25,47.25920000000001,Italy,League
3,2018,35433.05,8502564.9,59.701,Italy,League
4,2019,29477.75,7562932.25,63.167950000000005,Italy,League
0,2015,61581.25,9099802.75,68.26499999999999,England,Top 4
1,2016,55310.5,13420416.25,115.01999999999998,England,Top 4
2,2017,88909.25,16526666.25,182.53875,England,Top 4
3,2018,94136.5,19492196.5,105.65775,England,Top 4
4,2019,93416.5,19285264.75,98.15,England,Top 4
0,2015,35045.75,3506978.5,63.984750000000005,England,Bottom 4
1,2016,8681.75,3512082.75,45.07375,England,Bottom 4
2,2017,45192.5,5809048.75,55.31425,England,Bottom 4
3,2018,26621.25,4375567.75,69.1085,England,Bottom 4
4,2019,34530.25,5501855.5,61.284749999999995,England,Bottom 4
0,2015,49727.6,6517963.05,65.7219,England,League
1,2016,30061.6,7639934.15,74.7875,England,League
2,2017,57923.3,9032839.7,98.0699,England,League
3,2018,52369.75,9480151.05,74.39574999999999,England,League
4,2019,51354.5,9973681.35,80.53895000000001,England,League
0,2015,87691.25,14836384.25,73.53250000000001,Spain,Top 4
1,2016,71932.75,18523382.0,70.97749999999999,Spain,Top 4
2,2017,112594.25,22055435.75,131.625,Spain,Top 4
3,2018,99324.75,22468583.0,130.85000000000002,Spain,Top 4
4,2019,93007.25,20383901.0,235.52,Spain,Top 4
0,2015,29047.75,2924838.75,2.49075,Spain,Bottom 4
1,2016,6211.5,2942664.0,4.55,Spain,Bottom 4
2,2017,20812.25,6711084.25,12.854999999999999,Spain,Bottom 4
3,2018,16269.75,4125140.0,9.135,Spain,Bottom 4
4,2019,15328.25,4954157.75,24.75,Spain,Bottom 4
0,2015,45326.3,6297976.45,27.627400000000016,Spain,League
1,2016,26610.25,7724275.85,23.881349999999998,Spain,League
2,2017,39097.15,9662486.4,41.47625000000001,Spain,League
3,2018,34602.45,9620255.65,45.881150000000005,Spain,League
4,2019,32483.0,9150950.9,66.79775000000001,Spain,League
