,Year,Team,Ranking,Average_Player_Value,Player_Wages,Transfer_spend,League
0,2019,Juventus,1.0,22287121.0,113636.0,201.15,Italy
1,2019,Inter Milan,2.0,14953666.0,53733.0,171.28400000000002,Italy
2,2019,SS Lazio,3.0,11658939.0,40455.0,41.078,Italy
3,2019,Atalanta,4.0,8712321.0,38393.0,51.13,Italy
20,2018,Juventus,1.0,27679000.0,130840.0,233.73,Italy
21,2018,Napoli,2.0,19816000.0,70000.0,63.45,Italy
22,2018,Atalanta,3.0,6632200.0,20880.0,48.605,Italy
23,2018,Inter Milan,4.0,19418125.0,66792.0,87.84,Italy
40,2017,Juventus,1.0,23734615.0,121731.0,147.96000000000004,Italy
41,2017,Napoli,2.0,15474814.0,62630.0,61.21,Italy
42,2017,AS Roma,3.0,13695555.0,59926.0,82.04,Italy
43,2017,Inter Milan,4.0,13677291.0,54542.0,123.795,Italy
60,2016,Juventus,1.0,17967592.0,80630.0,176.21999999999997,Italy
61,2016,AS Roma,2.0,11063653.0,55731.0,92.34,Italy
62,2016,Napoli,3.0,12563703.0,56852.0,89.181,Italy
63,2016,Atalanta,4.0,3467413.0,14207.0,12.906000000000002,Italy
80,2015,Juventus,1.0,15003846.0,102154.0,139.414,Italy
81,2015,Napoli,2.0,10291153.0,74000.0,38.43,Italy
82,2015,AS Roma,3.0,9617777.0,68556.0,54.093999999999994,Italy
83,2015,Inter Milan,4.0,8390178.0,61786.0,92.21,Italy
0,2019,Real Madrid,1.0,27207575.0,162242.0,317.25,Spain
1,2019,FC Barcelona,2.0,26342424.0,150000.0,245.7,Spain
2,2019,Atlético Madrid,3.0,17890151.0,44848.0,219.15,Spain
3,2019,Sevilla FC,4.0,10095454.0,14939.0,159.98,Spain
20,2018,FC Barcelona,1.0,29925892.0,169536.0,116.19000000000004,Spain
21,2018,Atlético Madrid,2.0,19432727.0,46333.0,144.45000000000005,Spain
22,2018,Real Madrid,3.0,26668939.0,150333.0,146.48000000000005,Spain
23,2018,Valencia CF,4.0,13846774.0,31097.0,116.28000000000002,Spain
40,2017,FC Barcelona,1.0,29791666.0,188833.0,348.75,Spain
41,2017,Atlético Madrid,2.0,17692187.0,49406.0,91.8,Spain
42,2017,Real Madrid,3.0,31798076.0,182731.0,36.45,Spain
43,2017,Valencia CF,4.0,8939814.0,29407.0,49.50000000000001,Spain
60,2016,Real Madrid,1.0,23399242.0,82848.0,27.0,Spain
61,2016,FC Barcelona,2.0,21955468.0,79688.0,112.28,Spain
62,2016,Atlético Madrid,3.0,17008448.0,63862.0,71.1,Spain
63,2016,Sevilla FC,4.0,11730370.0,61333.0,73.52999999999999,Spain
80,2015,FC Barcelona,1.0,20170689.0,120724.0,45.90000000000001,Spain
81,2015,Real Madrid,2.0,19692741.0,106581.0,76.50000000000001,Spain
82,2015,Atlético Madrid,3.0,12458000.0,82960.0,129.25000000000003,Spain
83,2015,Villarreal CF,4.0,7024107.0,40500.0,42.48,Spain
0,2019,Liverpool,1.0,21008030.0,80818.0,9.36,England
1,2019,Manchester City,2.0,25628636.0,120727.0,150.14,England
2,2019,Manchester United,3.0,15202272.0,87091.0,192.6,England
3,2019,Chelsea,4.0,15302121.0,85030.0,40.5,England
20,2018,Manchester City,1.0,22951363.0,112758.0,70.73100000000001,England
21,2018,Liverpool,2.0,18015303.0,88212.0,163.98,England
22,2018,Chelsea,3.0,18798787.0,98970.0,187.92,England
23,2018,Tottenham Hotspur,4.0,18203333.0,76606.0,0.0,England
40,2017,Manchester City,1.0,17536818.0,95667.0,285.75,England
41,2017,Manchester United,2.0,18503787.0,107788.0,178.56,England
42,2017,Tottenham Hotspur,3.0,15938030.0,68788.0,109.35,England
43,2017,Liverpool,4.0,14128030.0,83394.0,156.495,England
60,2016,Chelsea,1.0,15741818.0,63333.0,119.52,England
61,2016,Tottenham Hotspur,2.0,11726060.0,47485.0,75.14999999999998,England
62,2016,Manchester City,3.0,14637727.0,59333.0,193.5,England
63,2016,Liverpool,4.0,11576060.0,51091.0,71.91,England
80,2015,Leicester City,1.0,2496612.0,26581.0,44.91,England
81,2015,Arsenal,2.0,12559062.0,82344.0,23.85,England
82,2015,Tottenham Hotspur,3.0,7761500.0,54067.0,63.89999999999999,England
83,2015,Manchester United,4.0,13582037.0,83333.0,140.39999999999998,England
