,year,Transfer_Spend,League
0,1992,107.738,Italy
1,1993,69.77499999999999,Italy
2,1994,34.087999999999994,Italy
3,1995,85.21,Italy
4,1996,101.566,Italy
5,1997,193.48699999999997,Italy
6,1998,300.23199999999997,Italy
7,1999,442.46500000000015,Italy
8,2000,449.64200000000005,Italy
9,2001,742.7749999999997,Italy
10,2002,322.94500000000005,Italy
11,2003,154.391,Italy
12,2004,201.23600000000002,Italy
13,2005,171.80399999999997,Italy
14,2006,232.78599999999994,Italy
15,2007,394.5960000000002,Italy
16,2008,544.09,Italy
17,2009,493.0329999999998,Italy
18,2010,420.886,Italy
19,2011,569.2560000000004,Italy
20,2012,513.8960000000002,Italy
21,2013,543.2069999999997,Italy
22,2014,416.9230000000001,Italy
23,2015,673.3840000000001,Italy
24,2016,792.0490000000004,Italy
25,2017,945.1839999999997,Italy
26,2018,1194.0199999999993,Italy
27,2019,1263.3590000000002,Italy
0,1992,53.57999999999999,England
1,1993,78.798,England
2,1994,123.09399999999995,England
3,1995,188.88800000000003,England
4,1996,177.642,England
5,1997,230.80199999999994,England
6,1998,348.5559999999999,England
7,1999,286.81900000000013,England
8,2000,460.09700000000026,England
9,2001,547.2520000000001,England
10,2002,303.0679999999999,England
11,2003,384.53999999999985,England
12,2004,455.34299999999985,England
13,2005,451.42999999999984,England
14,2006,495.61899999999986,England
15,2007,844.4869999999996,England
16,2008,770.6630000000007,England
17,2009,534.3390000000002,England
18,2010,629.2180000000001,England
19,2011,575.8330000000002,England
20,2012,697.5910000000001,England
21,2013,835.768,England
22,2014,1110.3869999999997,England
23,2015,1314.4379999999992,England
24,2016,1495.7499999999998,England
25,2017,1961.3980000000004,England
26,2018,1487.9149999999993,England
27,2019,1610.779,England
0,1992,7.655,Spain
1,1993,27.944999999999997,Spain
2,1994,37.432,Spain
3,1995,37.043000000000006,Spain
4,1996,160.08499999999995,Spain
5,1997,186.405,Spain
6,1998,149.30800000000002,Spain
7,1999,188.60899999999998,Spain
8,2000,345.77900000000005,Spain
9,2001,268.38300000000004,Spain
10,2002,129.03500000000003,Spain
11,2003,118.99499999999999,Spain
12,2004,219.54600000000005,Spain
13,2005,219.67700000000002,Spain
14,2006,353.4650000000001,Spain
15,2007,502.65500000000014,Spain
16,2008,352.10300000000007,Spain
17,2009,454.53299999999996,Spain
18,2010,282.81999999999994,Spain
19,2011,359.6640000000001,Spain
20,2012,147.97799999999998,Spain
21,2013,404.72499999999997,Spain
22,2014,505.9059999999999,Spain
23,2015,552.5479999999995,Spain
24,2016,477.627,Spain
25,2017,829.525,Spain
26,2018,917.6229999999996,Spain
27,2019,1335.9550000000002,Spain
